iter	Logloss
0	0.6053080475
1	0.5569668502
2	0.5136168675
3	0.4720860649
4	0.4440744132
5	0.4259557334
6	0.4073620414
7	0.3896376491
8	0.376850007
9	0.3662709984
10	0.3594772487
11	0.3519181748
12	0.3463195772
13	0.3423364942
14	0.3406553128
15	0.3375082531
16	0.3339866086
17	0.3315511511
18	0.3288216832
19	0.3257359972
20	0.3229554639
21	0.3213001445
22	0.3192420025
23	0.3170931938
24	0.315964939
25	0.3144245999
26	0.3131723234
27	0.3116734136
28	0.3102676996
29	0.3084433169
30	0.3071321492
31	0.3058408539
32	0.3047261822
33	0.3037601991
34	0.3026509728
35	0.3014746438
36	0.3006337067
37	0.2998970822
38	0.2986934022
39	0.2979846396
40	0.2966139488
41	0.2959912843
42	0.295481221
43	0.2945947956
44	0.2943673401
45	0.2933952594
46	0.2927801001
47	0.2914906644
48	0.2901514037
49	0.2888259981
50	0.2879708555
51	0.2867553185
52	0.2855815225
53	0.2850889739
54	0.2843847188
55	0.2835340964
56	0.2826089209
57	0.2821294121
58	0.2812662294
59	0.2802450798
60	0.2795809254
61	0.2788533849
62	0.2780902036
63	0.2772602741
64	0.276694865
65	0.2760228635
66	0.2748598494
67	0.274520803
68	0.2736821013
69	0.272783991
70	0.2719916945
71	0.2710839497
72	0.2698709563
73	0.2684669362
74	0.267897498
75	0.2674032934
76	0.266591455
77	0.2656694889
78	0.2652410624
79	0.264283351
80	0.2631734246
81	0.2626957302
82	0.2621210962
83	0.2612785334
84	0.2606410295
85	0.2598948631
86	0.2594934619
87	0.2590119101
88	0.2584548355
89	0.2576233832
90	0.2570046965
91	0.2561588184
92	0.2555607957
93	0.2550246824
94	0.2541863173
95	0.2522483816
96	0.251141583
97	0.2506424571
98	0.2487037277
99	0.2482420966
100	0.2471724527
101	0.2460490815
102	0.2443280084
103	0.2430961004
104	0.2415978848
105	0.2401720339
106	0.2393666843
107	0.2377993391
108	0.2368637231
109	0.2362458172
110	0.2353297308
111	0.2348775405
112	0.2342245319
113	0.2338388257
114	0.2329654174
115	0.2315514514
116	0.2311720438
117	0.2298417585
118	0.2290204011
119	0.2286157508
120	0.2274190049
121	0.2262651219
122	0.2256749422
123	0.2250485198
124	0.2238673728
125	0.2221382832
126	0.2206201007
127	0.2195492299
128	0.2176662923
129	0.2173067954
130	0.21575833
131	0.2149773832
132	0.2132282686
133	0.2113861735
134	0.2110688046
135	0.2097571641
136	0.2093301045
137	0.2084761063
138	0.2074085516
139	0.2065120075
140	0.2058257994
141	0.2054414466
142	0.2050445323
143	0.2042716838
144	0.202731966
145	0.2016327297
146	0.2008817012
147	0.200244976
148	0.1995693594
149	0.1986853109
150	0.1983942991
151	0.1975193077
152	0.1969321657
153	0.1964235699
154	0.1952237498
155	0.1948276822
156	0.1940195523
157	0.1935463635
158	0.1930996832
159	0.1923142797
160	0.1918832363
161	0.1916115452
162	0.1908307376
163	0.190461704
164	0.1901730177
165	0.189391711
166	0.1886712543
167	0.1882845736
168	0.1876979479
169	0.1868561152
170	0.1858678268
171	0.1851619828
172	0.1847053766
173	0.1844296352
174	0.1840075004
175	0.1837567573
176	0.183256375
177	0.1825528874
178	0.1819592323
179	0.1812558725
180	0.1809536572
181	0.1804626723
182	0.1796004066
183	0.1789768515
184	0.1786598663
185	0.1782491367
186	0.1771770237
187	0.1765168338
188	0.17578767
189	0.1752771796
190	0.1747609991
191	0.1744153059
192	0.1738369889
193	0.1733750787
194	0.1729210137
195	0.1723550072
196	0.1719491736
197	0.1717542647
198	0.1715565991
199	0.1711904226
